"time","transferFunction.y"
7.14,-3.325780029049945
7.152,-3.407753133877284
7.164,-3.489235531286526
7.176,-3.570215489857347
7.188,-3.650681351224931
7.2,-3.730621520724974
7.212,-3.810024477218333
7.224,-3.888878797569141
7.236,-3.967173128066745
7.248,-4.044896196257155
7.26,-4.122036812697095
7.272,-4.198583872708156
7.284,-4.27452633596846
7.296,-4.349853266942306
7.308,-4.424553827320783
7.32,-4.49861726191382
7.332,-4.572032908038546
7.344,-4.64479019721003
7.356,-4.716878656831939
7.368,-4.788287874552902
7.38,-4.859007584057468
7.392,-4.929027605748514
7.404,-4.998337858855139
7.416,-5.066928365722423
7.428,-5.13478925342754
7.44,-5.201910750010292
7.452,-5.268283155913549
7.464,-5.333896937733956
7.476,-5.39874264878685
7.488,-5.462810953864489
7.5,-5.526092630766982
7.512,-5.588578571833258
7.524,-5.650259768622279
7.536,-5.711127315838955
7.548,-5.77117247026642
7.56,-5.830386587469877
7.572,-5.888761143691788
7.584,-5.9462877372875
7.596,-6.00295809016094
7.608,-6.058764017143804
7.62,-6.113697475805476
7.632,-6.167750572498267
7.644,-6.220915526044225
7.656,-6.273184684300996
7.668,-6.324550525492766
7.68,-6.37500565954112
7.692,-6.424542778096355
7.704,-6.473154764847999
7.716,-6.520834628772862
7.728,-6.567575506869178
7.74,-6.6133706726279
7.752,-6.658213537250029
7.764,-6.702097647111944
7.776,-6.745016628926034
7.788,-6.786964338672435
7.8,-6.827934738069938
7.812,-6.86792193073696
7.824,-6.90692016328734
7.836,-6.944923826426171
7.848,-6.981927438036557
7.86,-7.017925631542664
7.872,-7.052913254837705
7.884,-7.086885272256252
7.896,-7.119836795663256
7.908,-7.151763085421059
7.92,-7.182659551356446
7.932,-7.212521718037586
7.944,-7.241345268921544
7.956,-7.269126077953106
7.968,-7.295860147631045
7.98,-7.321543632581468
7.992,-7.346172840389653
8.004,-7.369744232431957
8.016,-7.392254367803339
8.028,-7.413700016383838
8.04,-7.434078104843853
8.052,-7.453385702072109
8.064,-7.471620032614718
8.076,-7.488778477366422
8.088,-7.504858574261829
8.1,-7.519857937280683
8.112,-7.53377445185126
8.124,-7.546606116421378
8.136,-7.558351086973135
8.148,-7.569007677583635
8.16,-7.578574360971016
8.172,-7.587049753514862
8.184,-7.594432583446904
8.196,-7.600721826725636
8.208,-7.605916580436133
8.22,-7.610016100688426
8.232,-7.613019803014741
8.244,-7.614927262766725
8.256,-7.615738181640102
8.268,-7.615452415785088
8.28,-7.61407003695128
8.292,-7.611591247266913
8.304,-7.608016408243166
8.316,-7.603346041019959
8.328,-7.597580826611773
8.34,-7.590721551205368
8.352,-7.58276920471412
8.364,-7.573724952151524
8.376,-7.563590099284402
8.388,-7.552366110499139
8.4,-7.540054608894448
8.412,-7.526657376374155
8.424,-7.51217627515175
8.436,-7.49661342682047
8.448,-7.479971079361429
8.46,-7.46225163298904
8.472,-7.443457644657075
8.484,-7.423591827997761
8.496,-7.402657042489993
8.508,-7.380656242718035
8.52,-7.357592639519538
8.532,-7.333469556674642
8.544,-7.30829047193225
8.556,-7.282059016795927
8.568,-7.254778976309753
8.58,-7.226454260770832
8.592,-7.197088913451729
8.604,-7.166687196606864
8.616,-7.13525349095166
8.628,-7.102792327253075
8.64,-7.069308385963635
8.652,-7.03480649685546
8.664,-6.999291591563646
8.676,-6.962768776864671
8.688,-6.925243334911383
8.7,-6.886720672466223
8.712,-6.847206341366802
8.724,-6.806706038010544
8.736,-6.765225602839271
8.748,-6.722770952339323
8.76,-6.679348223853687
8.772,-6.634963680801621
8.784,-6.589623717864019
8.796,-6.54333486879568
8.808,-6.496103805763863
8.82,-6.447937333354257
8.832,-6.39884232574896
8.844,-6.348825894258773
8.856,-6.297895243490553
8.868,-6.246057710943298
8.88,-6.193320766205041
8.892,-6.139692010149783
8.904,-6.085179154006454
8.916,-6.02979000861357
8.928,-5.973532582729285
8.94,-5.916414979807868
8.952,-5.858445428411907
8.964,-5.799632281272909
8.976,-5.739984014351817
8.988,-5.679509190378154
9,-5.618216503383289
9.012,-5.556114802287146
9.024,-5.49321303223399
9.036,-5.429520254806027
9.048,-5.365045646953821
9.06,-5.299798499926641
9.072,-5.233788167162898
9.084,-5.167024165660674
9.096,-5.099516121493724
9.108,-5.03127375839818
9.12,-4.962306907051404
9.132,-4.892625503879181
9.144,-4.822239589127214
9.156,-4.751159243220195
9.168,-4.679394737206424
9.18,-4.606956406827567
9.192,-4.533854685817504
9.204,-4.460100104594255
9.216,-4.385703288952001
9.228,-4.310674946832378
9.24,-4.235025846474693
9.252,-4.158766908757263
9.264,-4.08190911665212
9.276,-4.004463540284169
9.288,-3.92644133551659
9.3,-3.847853742536132
9.312,-3.768712061844602
9.324,-3.689027673438018
9.336,-3.608812070879412
9.348,-3.528076806892696
9.36,-3.446833509893557
9.372,-3.365093882477439
9.384,-3.282869699907632
9.396,-3.200172776405607
9.408,-3.117015022600945
9.42,-3.033408423858584
9.432,-2.949365021152872
9.444,-2.864896919146926
9.456,-2.780016284593352
9.468,-2.69473534473487
9.48,-2.609066345596824
9.492,-2.523021642692604
9.504,-2.436613629199686
9.516,-2.349854749392926
9.528,-2.2627574987751
9.54,-2.175334422400734
9.552,-2.087598108109169
9.564,-1.999561164661354
9.576,-1.911236287276735
9.588,-1.822636195593464
9.6,-1.733773649387717
9.612,-1.644661446831888
9.624,-1.555312422752656
9.636,-1.465739436413077
9.648,-1.375955374093894
9.66,-1.285973176277389
9.672,-1.195805801131979
9.684,-1.105466233905758
9.696,-1.014967485130294
9.708,-0.9243225888245508
9.72,-0.8335445869360821
9.732,-0.7426465497868158
9.744,-0.6516415727351962
9.756,-0.5605427610561907
